Order_ID,Date,Region,Product,Category,Quantity,Price,Amount
2147,2023-04-18 05:31:51.823647296,East,Mobile,Electronics,4,30000,120000
2148,2023-04-18 23:02:17.074148298,South,Charger,Accessories,4,800,3200
2149,2023-04-19 16:32:42.324649300,North,Mouse,Accessories,3,500,1500
2150,2023-04-20 10:03:07.575150302,South,Mouse,Accessories,5,500,2500
2151,2023-04-21 03:33:32.825651304,South,Mouse,Accessories,2,500,1000
2152,2023-04-21 21:03:58.076152306,South,Laptop,Electronics,4,55000,220000
2153,2023-04-22 14:34:23.326653308,West,Mobile,Electronics,3,30000,90000
2154,2023-04-23 08:04:48.577154310,West,Headphones,Accessories,1,2000,2000
2155,2023-04-24 01:35:13.827655312,West,Headphones,Accessories,4,2000,8000
2156,2023-04-24 19:05:39.078156314,East,Monitor,Electronics,5,12000,60000
2157,2023-04-25 12:36:04.328657316,West,Monitor,Electronics,5,12000,60000
2158,2023-04-26 06:06:29.579158318,East,Monitor,Electronics,3,12000,36000
2159,2023-04-26 23:36:54.829659320,South,Monitor,Electronics,5,12000,60000
2160,2023-04-27 17:07:20.080160322,South,Monitor,Electronics,2,12000,24000
2161,2023-04-28 10:37:45.330661324,West,Keyboard,Accessories,1,1500,1500
2162,2023-04-29 04:08:10.581162326,West,Charger,Accessories,3,800,2400
2163,2023-04-29 21:38:35.831663328,North,Mouse,Accessories,2,500,1000
2164,2023-04-30 15:09:01.082164330,South,Mouse,Accessories,5,500,2500
2165,2023-05-01 08:39:26.332665332,West,Charger,Accessories,1,800,800
2166,2023-05-02 02:09:51.583166334,South,Headphones,Accessories,1,2000,2000
2167,2023-05-02 19:40:16.833667336,East,Mouse,Accessories,1,500,500
2168,2023-05-03 13:10:42.084168338,West,Mouse,Accessories,1,500,500
2169,2023-05-04 06:41:07.334669340,North,Headphones,Accessories,5,2000,10000
2170,2023-05-05 00:11:32.585170342,South,Headphones,Accessories,5,2000,10000
2171,2023-05-05 17:41:57.835671344,West,Headphones,Accessories,3,2000,6000
2172,2023-05-06 11:12:23.086172346,North,Mouse,Accessories,3,500,1500
2173,2023-05-07 04:42:48.336673348,North,Mobile,Electronics,1,30000,30000
2174,2023-05-07 22:13:13.587174350,North,Mobile,Electronics,4,30000,120000
2175,2023-05-08 15:43:38.837675352,South,Charger,Accessories,1,800,800
2176,2023-05-09 09:14:04.088176354,North,Mobile,Electronics,4,30000,120000
2177,2023-05-10 02:44:29.338677356,South,Monitor,Electronics,2,12000,24000
2178,2023-05-10 20:14:54.589178358,North,Headphones,Accessories,4,2000,8000
2179,2023-05-11 13:45:19.839679360,East,Mobile,Electronics,5,30000,150000
2180,2023-05-12 07:15:45.090180362,South,Mouse,Accessories,2,500,1000
2181,2023-05-13 00:46:10.340681364,South,Headphones,Accessories,4,2000,8000
2182,2023-05-13 18:16:35.591182366,South,Monitor,Electronics,2,12000,24000
2183,2023-05-14 11:47:00.841683368,West,Keyboard,Accessories,2,1500,3000
2184,2023-05-15 05:17:26.092184370,North,Laptop,Electronics,5,55000,275000
2185,2023-05-15 22:47:51.342685372,North,Monitor,Electronics,2,12000,24000
2186,2023-05-16 16:18:16.593186374,West,Monitor,Electronics,3,12000,36000
2187,2023-05-17 09:48:41.843687376,East,Monitor,Electronics,2,12000,24000
2188,2023-05-18 03:19:07.094188378,North,Monitor,Electronics,1,12000,12000
2189,2023-05-18 20:49:32.344689380,East,Headphones,Accessories,3,2000,6000
2190,2023-05-19 14:19:57.595190382,East,Headphones,Accessories,4,2000,8000
2191,2023-05-20 07:50:22.845691384,West,Laptop,Electronics,1,55000,55000
2192,2023-05-21 01:20:48.096192386,West,Mouse,Accessories,3,500,1500
2193,2023-05-21 18:51:13.346693388,West,Headphones,Accessories,5,2000,10000
2194,2023-05-22 12:21:38.597194390,North,Charger,Accessories,2,800,1600
2195,2023-05-23 05:52:03.847695392,East,Keyboard,Accessories,2,1500,3000
2196,2023-05-23 23:22:29.098196394,South,Charger,Accessories,1,800,800
2197,2023-05-24 16:52:54.348697396,South,Headphones,Accessories,2,2000,4000
2198,2023-05-25 10:23:19.599198398,East,Mouse,Accessories,2,500,1000
2199,2023-05-26 03:53:44.849699400,South,Laptop,Electronics,4,55000,220000
2200,2023-05-26 21:24:10.100200402,North,Headphones,Accessories,2,2000,4000
2201,2023-05-27 14:54:35.350701404,West,Keyboard,Accessories,5,1500,7500
2202,2023-05-28 08:25:00.601202406,North,Monitor,Electronics,1,12000,12000
2203,2023-05-29 01:55:25.851703408,West,Headphones,Accessories,1,2000,2000
2204,2023-05-29 19:25:51.102204410,North,Mouse,Accessories,5,500,2500
2205,2023-05-30 12:56:16.352705412,East,Keyboard,Accessories,1,1500,1500
2206,2023-05-31 06:26:41.603206414,North,Monitor,Electronics,2,12000,24000
2207,2023-05-31 23:57:06.853707416,West,Charger,Accessories,5,800,4000
2208,2023-06-01 17:27:32.104208418,East,Laptop,Electronics,5,55000,275000
2209,2023-06-02 10:57:57.354709420,North,Laptop,Electronics,3,55000,165000
2210,2023-06-03 04:28:22.605210422,North,Mobile,Electronics,1,30000,30000
2211,2023-06-03 21:58:47.855711424,West,Mobile,Electronics,4,30000,120000
2212,2023-06-04 15:29:13.106212426,East,Laptop,Electronics,5,55000,275000
2213,2023-06-05 08:59:38.356713428,West,Keyboard,Accessories,1,1500,1500
2214,2023-06-06 02:30:03.607214430,North,Monitor,Electronics,5,12000,60000
2215,2023-06-06 20:00:28.857715432,North,Keyboard,Accessories,4,1500,6000
2216,2023-06-07 13:30:54.108216434,South,Charger,Accessories,4,800,3200
2217,2023-06-08 07:01:19.358717436,East,Charger,Accessories,4,800,3200
2218,2023-06-09 00:31:44.609218438,North,Mouse,Accessories,5,500,2500
2219,2023-06-09 18:02:09.859719440,North,Keyboard,Accessories,4,1500,6000
2220,2023-06-10 11:32:35.110220442,North,Monitor,Electronics,3,12000,36000
2221,2023-06-11 05:03:00.360721444,East,Monitor,Electronics,5,12000,60000
2222,2023-06-11 22:33:25.611222446,North,Laptop,Electronics,5,55000,275000
2223,2023-06-12 16:03:50.861723448,East,Mouse,Accessories,2,500,1000
2224,2023-06-13 09:34:16.112224450,North,Mobile,Electronics,2,30000,60000
2225,2023-06-14 03:04:41.362725452,East,Keyboard,Accessories,5,1500,7500
2226,2023-06-14 20:35:06.613226454,East,Keyboard,Accessories,2,1500,3000
2227,2023-06-15 14:05:31.863727456,South,Monitor,Electronics,1,12000,12000
2228,2023-06-16 07:35:57.114228458,North,Mouse,Accessories,4,500,2000
2229,2023-06-17 01:06:22.364729460,West,Headphones,Accessories,5,2000,10000
2230,2023-06-17 18:36:47.615230462,South,Mouse,Accessories,1,500,500
2231,2023-06-18 12:07:12.865731464,South,Keyboard,Accessories,2,1500,3000
2232,2023-06-19 05:37:38.116232466,North,Headphones,Accessories,5,2000,10000
2233,2023-06-19 23:08:03.366733468,West,Mobile,Electronics,3,30000,90000
2234,2023-06-20 16:38:28.617234470,South,Headphones,Accessories,1,2000,2000
2235,2023-06-21 10:08:53.867735472,East,Monitor,Electronics,1,12000,12000
2236,2023-06-22 03:39:19.118236474,North,Charger,Accessories,1,800,800
2237,2023-06-22 21:09:44.368737476,South,Monitor,Electronics,4,12000,48000
2238,2023-06-23 14:40:09.619238478,North,Monitor,Electronics,3,12000,36000
2239,2023-06-24 08:10:34.869739480,South,Monitor,Electronics,3,12000,36000
2240,2023-06-25 01:41:00.120240482,East,Mouse,Accessories,3,500,1500
2241,2023-06-25 19:11:25.370741484,North,Mobile,Electronics,3,30000,90000
2242,2023-06-26 12:41:50.621242486,West,Headphones,Accessories,2,2000,4000
2243,2023-06-27 06:12:15.871743488,West,Mobile,Electronics,2,30000,60000
2244,2023-06-27 23:42:41.122244490,East,Monitor,Electronics,5,12000,60000
2245,2023-06-28 17:13:06.372745492,East,Laptop,Electronics,1,55000,55000
2246,2023-06-29 10:43:31.623246494,South,Headphones,Accessories,4,2000,8000
2247,2023-06-30 04:13:56.873747496,North,Laptop,Electronics,4,55000,220000
2248,2023-06-30 21:44:22.124248498,South,Laptop,Electronics,1,55000,55000
2249,2023-07-01 15:14:47.374749500,West,Headphones,Accessories,2,2000,4000
2250,2023-07-02 08:45:12.625250502,North,Headphones,Accessories,5,2000,10000
2251,2023-07-03 02:15:37.875751504,West,Charger,Accessories,5,800,4000
2252,2023-07-03 19:46:03.126252506,East,Mobile,Electronics,5,30000,150000
2253,2023-07-04 13:16:28.376753508,West,Monitor,Electronics,5,12000,60000
2254,2023-07-05 06:46:53.627254510,West,Keyboard,Accessories,3,1500,4500
2255,2023-07-06 00:17:18.877755512,East,Laptop,Electronics,2,55000,110000
2256,2023-07-06 17:47:44.128256514,South,Laptop,Electronics,1,55000,55000
2257,2023-07-07 11:18:09.378757516,North,Charger,Accessories,1,800,800
2258,2023-07-08 04:48:34.629258518,West,Mobile,Electronics,3,30000,90000
2259,2023-07-08 22:18:59.879759520,East,Charger,Accessories,1,800,800
2260,2023-07-09 15:49:25.130260522,West,Monitor,Electronics,2,12000,24000
2261,2023-07-10 09:19:50.380761524,West,Mobile,Electronics,4,30000,120000
2262,2023-07-11 02:50:15.631262526,West,Monitor,Electronics,5,12000,60000
2263,2023-07-11 20:20:40.881763528,West,Mouse,Accessories,4,500,2000
2264,2023-07-12 13:51:06.132264530,West,Mouse,Accessories,2,500,1000
2265,2023-07-13 07:21:31.382765532,West,Mouse,Accessories,4,500,2000
2266,2023-07-14 00:51:56.633266534,West,Headphones,Accessories,1,2000,2000
2267,2023-07-14 18:22:21.883767536,North,Keyboard,Accessories,1,1500,1500
2268,2023-07-15 11:52:47.134268538,West,Laptop,Electronics,5,55000,275000
2269,2023-07-16 05:23:12.384769540,West,Headphones,Accessories,4,2000,8000
2270,2023-07-16 22:53:37.635270542,South,Headphones,Accessories,5,2000,10000
2271,2023-07-17 16:24:02.885771544,South,Keyboard,Accessories,5,1500,7500
2272,2023-07-18 09:54:28.136272546,West,Mouse,Accessories,3,500,1500
2273,2023-07-19 03:24:53.386773548,South,Headphones,Accessories,1,2000,2000
2274,2023-07-19 20:55:18.637274550,East,Mouse,Accessories,2,500,1000
2275,2023-07-20 14:25:43.887775552,East,Headphones,Accessories,5,2000,10000
2276,2023-07-21 07:56:09.138276554,South,Laptop,Electronics,1,55000,55000
2277,2023-07-22 01:26:34.388777556,East,Charger,Accessories,1,800,800
2278,2023-07-22 18:56:59.639278558,East,Headphones,Accessories,2,2000,4000
2279,2023-07-23 12:27:24.889779560,East,Laptop,Electronics,3,55000,165000
2280,2023-07-24 05:57:50.140280562,North,Laptop,Electronics,5,55000,275000
2281,2023-07-24 23:28:15.390781564,East,Mouse,Accessories,1,500,500
2282,2023-07-25 16:58:40.641282566,North,Charger,Accessories,1,800,800
2283,2023-07-26 10:29:05.891783568,North,Charger,Accessories,4,800,3200
2284,2023-07-27 03:59:31.142284570,South,Headphones,Accessories,5,2000,10000
2285,2023-07-27 21:29:56.392785572,East,Keyboard,Accessories,5,1500,7500
2286,2023-07-28 15:00:21.643286576,North,Headphones,Accessories,5,2000,10000
2287,2023-07-29 08:30:46.893787576,East,Mouse,Accessories,2,500,1000
2288,2023-07-30 02:01:12.144288580,South,Laptop,Electronics,5,55000,275000
2289,2023-07-30 19:31:37.394789580,East,Laptop,Electronics,1,55000,55000
2290,2023-07-31 13:02:02.645290584,West,Headphones,Accessories,5,2000,10000
2291,2023-08-01 06:32:27.895791584,North,Mobile,Electronics,1,30000,30000
2292,2023-08-02 00:02:53.146292588,East,Mouse,Accessories,4,500,2000
2293,2023-08-02 17:33:18.396793588,South,Charger,Accessories,2,800,1600
2294,2023-08-03 11:03:43.647294592,East,Mouse,Accessories,3,500,1500
2295,2023-08-04 04:34:08.897795592,North,Mouse,Accessories,4,500,2000
2296,2023-08-04 22:04:34.148296596,North,Mobile,Electronics,4,30000,120000
2297,2023-08-05 15:34:59.398797596,North,Mobile,Electronics,3,30000,90000
2298,2023-08-06 09:05:24.649298600,North,Laptop,Electronics,5,55000,275000
2299,2023-08-07 02:35:49.899799600,East,Mobile,Electronics,2,30000,60000
2300,2023-08-07 20:06:15.150300604,South,Keyboard,Accessories,4,1500,6000
2301,2023-08-08 13:36:40.400801604,South,Mobile,Electronics,2,30000,60000
2302,2023-08-09 07:07:05.651302608,East,Mouse,Accessories,3,500,1500
2303,2023-08-10 00:37:30.901803608,West,Charger,Accessories,2,800,1600
2304,2023-08-10 18:07:56.152304612,West,Laptop,Electronics,1,55000,55000
2305,2023-08-11 11:38:21.402805612,South,Charger,Accessories,4,800,3200
2306,2023-08-12 05:08:46.653306616,East,Charger,Accessories,2,800,1600
2307,2023-08-12 22:39:11.903807616,North,Laptop,Electronics,5,55000,275000
2308,2023-08-13 16:09:37.154308620,West,Monitor,Electronics,2,12000,24000
2309,2023-08-14 09:40:02.404809620,North,Laptop,Electronics,2,55000,110000
2310,2023-08-15 03:10:27.655310624,West,Monitor,Electronics,4,12000,48000
2311,2023-08-15 20:40:52.905811624,South,Headphones,Accessories,2,2000,4000
2312,2023-08-16 14:11:18.156312628,North,Headphones,Accessories,2,2000,4000
2313,2023-08-17 07:41:43.406813628,East,Mobile,Electronics,3,30000,90000
2314,2023-08-18 01:12:08.657314632,East,Keyboard,Accessories,3,1500,4500
2315,2023-08-18 18:42:33.907815632,South,Laptop,Electronics,3,55000,165000
2316,2023-08-19 12:12:59.158316636,West,Monitor,Electronics,4,12000,48000
2317,2023-08-20 05:43:24.408817636,West,Laptop,Electronics,3,55000,165000
2318,2023-08-20 23:13:49.659318640,North,Keyboard,Accessories,3,1500,4500
2319,2023-08-21 16:44:14.909819640,South,Mouse,Accessories,5,500,2500
2320,2023-08-22 10:14:40.160320644,North,Keyboard,Accessories,3,1500,4500
2321,2023-08-23 03:45:05.410821644,West,Headphones,Accessories,2,2000,4000
2322,2023-08-23 21:15:30.661322648,South,Mouse,Accessories,5,500,2500
2323,2023-08-24 14:45:55.911823648,North,Headphones,Accessories,1,2000,2000
2324,2023-08-25 08:16:21.162324652,South,Laptop,Electronics,4,55000,220000
2325,2023-08-26 01:46:46.412825652,North,Mobile,Electronics,2,30000,60000
2326,2023-08-26 19:17:11.663326656,North,Mobile,Electronics,2,30000,60000
2327,2023-08-27 12:47:36.913827656,South,Keyboard,Accessories,1,1500,1500
2328,2023-08-28 06:18:02.164328660,South,Laptop,Electronics,1,55000,55000
2329,2023-08-28 23:48:27.414829660,East,Charger,Accessories,3,800,2400
2330,2023-08-29 17:18:52.665330664,South,Headphones,Accessories,1,2000,2000
2331,2023-08-30 10:49:17.915831664,West,Monitor,Electronics,1,12000,12000
2332,2023-08-31 04:19:43.166332668,North,Laptop,Electronics,3,55000,165000
2333,2023-08-31 21:50:08.416833668,West,Monitor,Electronics,2,12000,24000
2334,2023-09-01 15:20:33.667334672,North,Charger,Accessories,2,800,1600
2335,2023-09-02 08:50:58.917835672,West,Mouse,Accessories,3,500,1500
2336,2023-09-03 02:21:24.168336676,East,Keyboard,Accessories,3,1500,4500
2337,2023-09-03 19:51:49.418837676,East,Charger,Accessories,3,800,2400
2338,2023-09-04 13:22:14.669338680,South,Monitor,Electronics,5,12000,60000
2339,2023-09-05 06:52:39.919839680,East,Mouse,Accessories,3,500,1500
2340,2023-09-06 00:23:05.170340684,East,Charger,Accessories,1,800,800
2341,2023-09-06 17:53:30.420841684,South,Headphones,Accessories,4,2000,8000
2342,2023-09-07 11:23:55.671342688,North,Charger,Accessories,1,800,800
2343,2023-09-08 04:54:20.921843688,South,Charger,Accessories,2,800,1600
2344,2023-09-08 22:24:46.172344692,North,Monitor,Electronics,1,12000,12000
2345,2023-09-09 15:55:11.422845692,North,Headphones,Accessories,4,2000,8000
2346,2023-09-10 09:25:36.673346696,East,Monitor,Electronics,2,12000,24000
2347,2023-09-11 02:56:01.923847696,South,Laptop,Electronics,5,55000,275000
2348,2023-09-11 20:26:27.174348700,East,Charger,Accessories,4,800,3200
2349,2023-09-12 13:56:52.424849700,East,Mobile,Electronics,2,30000,60000
2350,2023-09-13 07:27:17.675350704,East,Laptop,Electronics,4,55000,220000
